gameName,tagLine,platformRegion,puuid,proName,teamName,type,source,sourceSlug,league,role,tier,lp,wins,losses
J1HUIV,000,EUW1,Dzh6oBrCmaPVqQgKxlCrw1D3drdBpC3D5c0jY4lnMB-KsMzFpeYUla7Rf06CF1hxpQ0uxAdBMy7jog,Vladi,Karmine Corp,pro,https://www.probuild.gg/pro/vladi,vladi,LEC,mid,Challenger,3528,713,571
Inmaculado,Guess,EUW1,dVUqtIVJWESysJD56TGGDi1O_s_9QbUWOQR91HG1VGa8aJl_HFGtSM1Fux2jgxcB9OShixYtBk3Hcg,Flakked,Team Heretics,pro,https://www.probuild.gg/pro/flakked,flakked,LEC,adc,Challenger,2899,577,482
suis,kr7,KR,i6MbO9eFTgtMBMTCq3TadunKuuyrLqMKNOLSydIEZRmrSYLvNkmu5UTdLhMfCy8YGvab4b6yJsadBg,Zeka,Hanwha Life Esports,pro,https://www.probuild.gg/pro/zeka,zeka,LCK,mid,Challenger,2799,254,183
KC NEXT ADKING,EUW,EUW1,xsHVHrci2F8hKNErjxXS4zgO8ZWbY36LWtrY7cRSlMM2vRjXsz7S7l4C6RfdwhX6W1dbNCWL42CSRg,Caliste,Karmine Corp,pro,https://www.probuild.gg/pro/caliste,caliste,LEC,adc,Challenger,2796,344,178
DK Smash,KR7,KR,CYdhs0D0ppKuhar0atioQHV1FURP2nF1tcC3Ew66u-6tP9oZ8-FOG63Y0Hbk3CC2Zzfaaq8TzoBeCQ,Smash,T1,pro,https://www.probuild.gg/pro/smash,smash,LCK,adc,Challenger,2677,304,241
DK ShowMaker,KR1,KR,8VJSSC39yaQ5nlIBCfbvrpbkRjc-9AO7chEDENfB1PK00QK1eIcyPpR67cyVJKJPkxnjJPKvh_-YIQ,Showmaker,Dplus KIA,pro,https://www.probuild.gg/pro/showmaker,showmaker,LCK,mid,Challenger,2639,268,207
Targamas,5555,EUW1,-52V_AciMB_b9-ojU03J_1Ewi2s74JANpKljzlefL-dQfVv_vDbZxzlLGQAm9cHF3xmQHQZ8SsFBlA,Targamas,Karmine Corp,pro,https://www.probuild.gg/pro/targamas,targamas,LEC,supp,Challenger,2632,361,266
HLE Gumayusi,0298,KR,mhclxrlybvqPWcW1f8de0tjftYtsGP6pIb1s1Hynbf26A2f8I4AnqdworUMtoyLHH8_s_79ZrEEElw,Gumayusi,T1,pro,https://www.probuild.gg/pro/gumayusi,gumayusi,LCK,adc,Challenger,2593,347,268
Sheiden,1234,EUW1,OdZMELooABt9lrjmWGcJLIzSgQeQVjBXyT2_-6dkaFZkX8J-7Glb151_OgK-CzVT7a4Pl-__ttcxCQ,Sheiden,Dignitas,pro,https://www.probuild.gg/pro/sheiden,sheiden,LTAN,jungle,Challenger,2553,370,296
G2 Labrov,8085,EUW1,6c4qXkNmbTiKYW2dByTTgMzNr5xQn2l6szNhGQrBQLgQRTNBiaYK8DVPyVeUQt5okM0fX9xuwuBqYQ,Labrov,G2 Esports,pro,https://www.probuild.gg/pro/labrov,labrov,LEC,supp,Challenger,2523,390,240
LNG BuLLDoG,KR2,KR,IpirhSu1YJgcX4g7U9QE6Kcu2kESOyRQ6FTPeLCIB7SMcX_huAyJMQFNukAJCCNHFdMHd4Xy2zGLSQ,BuLLDoG,DN FREECS,pro,https://www.probuild.gg/pro/bulldog,bulldog,LCK,mid,Challenger,2516,381,328
KRX Ucal,0130,KR,wn2VraVZwVQ-nS-yLGNujkRkuGalM1ne6wF_Y30UK0XSZEh94Nnj33EB9p3NAQzVmZOubW1R87356A,Ucal,DRX,pro,https://www.probuild.gg/pro/ucal,ucal,LCK,mid,Challenger,2515,246,192
G2 SkewMond,3327,EUW1,pDoAC7xbzhWP-Ktvja1QcQnj4b_k-IyGkYSRm5t-HRnwN6sBsaPS-bQ1QJO3gCNMnOmpSXi4ubbHtQ,SkewMond,G2 Esports,pro,https://www.probuild.gg/pro/skewmond,skewmond,LEC,jungle,Challenger,2504,483,306
대광,God,KR,ui6waLQ8AqwHH3ZCCC4xdHLAq0JmkkJd2YxAH5g6jXJ31l81b1f_Lgo4yseZFRtO8dzM4c8k6rhuzQ,VicLa,BNK FEARX,pro,https://www.probuild.gg/pro/vicla,vicla,LCK,mid,Challenger,2479,264,197
Peyz,KR11,KR,ymrI7Hogqprva3PZGHuYEKdAB_gwtdoRJogEoTSVL4Mt5qdv31LXrXlRGAW6s3Gdd0QYpR0HUHnnmA,Peyz,Beijing JDG Intel Esports,pro,https://www.probuild.gg/pro/peyz,peyz,LPL,adc,Challenger,2468,335,275
113,Kurii,EUW1,BYoA4Ov17EtCRatYFsaMDi74L4jETC-cdPwt7Bh7l089CFCM9MiFforSUZDfkD6RwJyK1l2ROqyoog,113,Team BDS,pro,https://www.probuild.gg/pro/113,113,LEC,jungle,Challenger,2468,411,287
G2 Caps,1323,EUW1,VxypXcRNDLQqqPQst6lgI14v6L3ngecWsYNHj_9fq4QvdtgVHXr5YIGGsYMC3my7t-0Kz8J-Mjxzag,Caps,G2 Esports,pro,https://www.probuild.gg/pro/caps,caps,LEC,mid,Challenger,2465,384,251
BRO Loki,0823,KR,QQb1KGnoUOXCxKt_BXx21PCeaTDMh2XaqfBbNMroMY-NnmJoTLt82AJx13svUNv2LacUeEoZWm2rcw,Loki,Cloud9 Kia,pro,https://www.probuild.gg/pro/loki,loki,LTAN,mid,Challenger,2447,396,357
DK Lucid,KR1,KR,5iGUDtvecZ03_5Y59YrLb0mByKCnJs-3CQLB-S0ranMkdYST355Cqqbk0O7MNC_Qw11RCn6C0mbSYw,Lucid,Dplus KIA,pro,https://www.probuild.gg/pro/lucid,lucid,LCK,jungle,Challenger,2423,296,230
Nothing much,EUW,EUW1,4cKrvsy-EY5iNUWn1m8DUZXeIrp3TgYvOabVle-aZEe_qnS7ivntRMU6Noy7bBcwvknxlIrVO8nnIg,Adam,Rogue,pro,https://www.probuild.gg/pro/adam,adam,LEC,top,Challenger,2396,585,489
leave,444,KR,fwKfhQfM2trAiUsEDnXuUc4NIO9xK-8XNuOTxzCNGwVN4RqYiMdfCBxl57JfCQfFsTpcHsgaLQNUbQ,Leave,Shenzhen Ninjas in Pyjamas,pro,https://www.probuild.gg/pro/leave,leave,LPL,adc,Challenger,2375,259,204
강아지좋아,KR3,KR,IoomUnyImis-odoDcszqbpcfTndBu8zCVJ50Q3ZPMsbwXkaOuEbz-pPoaBDWg2rR-RHLeSJHOPGNxg,Xiaohao,Shanghai Edward Gaming Hycan,pro,https://www.probuild.gg/pro/xiaohao,xiaohao,LPL,jungle,Challenger,2372,327,262
어쩌라고맞짱뜰까,HOYA,KR,NPYrapU6_gzT2T-6_CMkZXKl1eeg8y7BtF6Nf4IiiFervChJfyfUNZODxvcJ9PVvhQilL8CGJkUIKg,HOYA,ThunderTalk Gaming,pro,https://www.probuild.gg/pro/hoya,hoya,LPL,top,Challenger,2363,345,316
Kimman,zxfkk,KR,mPnIwjUJsc31ITu3sJ_1vBYTaeDeyIxUrddiS6uPJ3gvuRIaFbWPfWdWSnIECOzD20-JR3uBRyDWyA,Wei,Bilibili Gaming DreamSmart,pro,https://www.probuild.gg/pro/wei,wei,LPL,jungle,Challenger,2358,226,167
mashushu,KR1,KR,yT8SR9nwHhs_B1N4ZsGFUtsNiATbjWyJqeqcAUK6DFvne_gw63ltFx_NHzhRuZqsN0Rwh8jP3ZjN_Q,Xiaohu,WeiboGaming Faw Audi,pro,https://www.probuild.gg/pro/xiaohu,xiaohu,LPL,mid,Challenger,2325,223,172
TOPKING,asd,KR,lRQCSuKKly4cHC3hWv0JWbNO4D7TOqZdPCu1wXWOw3OoJvYiP6f-15oULElNoNZbTn-iUFMsbL-Vow,Siwoo,Dplus KIA,pro,https://www.probuild.gg/pro/siwoo,siwoo,LCK,top,Challenger,2319,474,431
